date,close,down,downSize,recovery,redMark,,val
3-Nov-11,2155.87,1,31.97,550,1,,2312.49
4-Nov-11,2142.34,1,31.14,551,1,,2312.49
7-Nov-11,2156,1,31.98,552,1,,2312.49
8-Nov-11,2182.61,1,33.6,553,1,,2312.49
9-Nov-11,2102.72,1,28.71,554,1,,2312.49
10-Nov-11,2121.14,1,29.84,555,1,,2312.49
11-Nov-11,2162.48,1,32.37,556,1,,2312.49
14-Nov-11,2142.09,1,31.12,557,1,,2312.49
15-Nov-11,2152.8,1,31.78,558,1,,2312.49
16-Nov-11,2117.64,1,29.63,559,1,,2312.49
17-Nov-11,2082.1,1,27.45,560,1,,2312.49
18-Nov-11,2081.42,1,27.41,561,1,,2312.49
21-Nov-11,2042.71,1,25.04,562,1,,2312.49
22-Nov-11,2034.41,1,24.53,563,1,,2312.49
23-Nov-11,1989.54,1,21.79,564,1,,2312.49
25-Nov-11,1984.5,1,21.48,565,1,,2312.49
28-Nov-11,2042.8,1,25.05,566,1,,2312.49
29-Nov-11,2048.06,1,25.37,567,1,,2312.49
30-Nov-11,2137.08,1,30.82,568,1,,2312.49
1-Dec-11,2133.07,1,30.57,569,1,,2312.49
2-Dec-11,2132.64,1,30.55,570,1,,2312.49
5-Dec-11,2154.68,1,31.9,571,1,,2312.49
6-Dec-11,2157.1,1,32.04,572,1,,2312.49
7-Dec-11,2162.07,1,32.35,573,1,,2312.49
8-Dec-11,2116.41,1,29.55,574,1,,2312.49
9-Dec-11,2152.15,1,31.74,575,1,,2312.49
12-Dec-11,2120.15,1,29.78,576,1,,2312.49
13-Dec-11,2102.15,1,28.68,577,1,,2312.49
14-Dec-11,2078.51,1,27.23,578,1,,2312.49
15-Dec-11,2085.44,1,27.66,579,1,,2312.49
16-Dec-11,2092.18,1,28.07,580,1,,2312.49
19-Dec-11,2067.67,1,26.57,581,1,,2312.49
20-Dec-11,2129.67,1,30.36,582,1,,2312.49
21-Dec-11,2133.86,1,30.62,583,1,,2312.49
22-Dec-11,2152.04,1,31.73,584,1,,2312.49
23-Dec-11,2171.5,1,32.92,585,1,,2312.49
27-Dec-11,2171.71,1,32.94,586,1,,2312.49
28-Dec-11,2145.09,1,31.31,587,1,,2312.49
29-Dec-11,2168.12,1,32.72,588,1,,2312.49
30-Dec-11,2158.94,1,32.16,589,1,,2312.49
3-Jan-12,2192.4,1,34.2,590,1,,2312.49
4-Jan-12,2193.28,1,34.26,591,1,,2312.49
5-Jan-12,2199.73,1,34.65,592,1,,2312.49
6-Jan-12,2194.98,1,34.36,593,1,,2312.49
9-Jan-12,2200,1,34.67,594,1,,2312.49
10-Jan-12,2219.58,1,35.87,595,1,,2312.49
11-Jan-12,2220.48,1,35.92,596,1,,2312.49
12-Jan-12,2225.74,1,36.25,597,1,,2312.49
13-Jan-12,2214.73,1,35.57,598,1,,2312.49
17-Jan-12,2222.59,1,36.05,599,1,,2312.49
18-Jan-12,2247.64,1,37.59,600,1,,2312.49
19-Jan-12,2258.8,1,38.27,601,1,,2312.49
20-Jan-12,2260.37,1,38.36,602,1,,2312.49
23-Jan-12,2261.47,1,38.43,603,1,,2312.49
24-Jan-12,2259.22,1,38.29,604,1,,2312.49
25-Jan-12,2278.83,1,39.49,605,1,,2312.49
26-Jan-12,2265.84,1,38.7,606,1,,2312.49
27-Jan-12,2262.35,1,38.49,607,1,,2312.49
30-Jan-12,2256.72,1,38.14,608,1,,2312.49
31-Jan-12,2255.69,1,38.08,609,1,,2312.49
1-Feb-12,2276.24,1,39.34,610,1,,2312.49
2-Feb-12,2278.92,1,39.5,611,1,,2312.49
3-Feb-12,2312.49,1,41.56,612,1,,2312.49
6-Feb-12,2311.55,0,41.5,613,0,,0
7-Feb-12,2316.27,0,41.79,614,0,,0
