date	close	down	downSize	recovery
25-Sep-12	2514.83	1	53.94	774
26-Sep-12	2500.92	1	53.09	775
27-Sep-12	2525.23	1	54.58	776
28-Sep-12	2513.93	1	53.89	777
1-Oct-12	2520.71	1	54.3	778
2-Oct-12	2523.08	1	54.45	779
3-Oct-12	2532.79	1	55.04	780
4-Oct-12	2550.98	1	56.15	781
5-Oct-12	2551.03	1	56.16	782
8-Oct-12	2542.21	1	55.62	783
9-Oct-12	2517.14	1	54.08	784
10-Oct-12	2501.75	1	53.14	785
11-Oct-12	2502.66	1	53.2	786
12-Oct-12	2495.28	1	52.74	787
15-Oct-12	2515.44	1	53.98	788
16-Oct-12	2541.28	1	55.56	789
17-Oct-12	2552.05	1	56.22	790
18-Oct-12	2545.95	1	55.85	791
19-Oct-12	2503.8	1	53.27	792
22-Oct-12	2504.96	1	53.34	793
23-Oct-12	2468.78	1	51.12	794
24-Oct-12	2461.18	1	50.66	795
25-Oct-12	2468.6	1	51.11	796
26-Oct-12	2466.8	1	51	797
31-Oct-12	2467.51	1	51.04	798
1-Nov-12	2494.67	1	52.71	799
2-Nov-12	2471.3	1	51.28	800
5-Nov-12	2476.94	1	51.62	801
6-Nov-12	2496.46	1	52.82	802
7-Nov-12	2439.48	1	49.33	803
8-Nov-12	2409.72	1	47.51	804
9-Nov-12	2413.92	1	47.76	805
12-Nov-12	2414.24	1	47.78	806
13-Nov-12	2405.38	1	47.24	807
14-Nov-12	2372.94	1	45.26	808
15-Nov-12	2369.32	1	45.03	809
16-Nov-12	2381.02	1	45.75	810
19-Nov-12	2428.47	1	48.65	811
20-Nov-12	2430.29	1	48.77	812
21-Nov-12	2435.97	1	49.11	813
23-Nov-12	2468.06	1	51.08	814
26-Nov-12	2463.12	1	50.78	815
27-Nov-12	2450.48	1	50	816
28-Nov-12	2470.47	1	51.23	817
29-Nov-12	2481.42	1	51.9	818
30-Nov-12	2481.82	1	51.92	819
3-Dec-12	2470.07	1	51.2	820
4-Dec-12	2465.9	1	50.95	821
5-Dec-12	2470.59	1	51.23	822
6-Dec-12	2479.4	1	51.77	823
7-Dec-12	2486.84	1	52.23	824
10-Dec-12	2487.78	1	52.29	825
11-Dec-12	2504.08	1	53.28	826
12-Dec-12	2505.76	1	53.39	827
13-Dec-12	2490.56	1	52.46	828
14-Dec-12	2480.36	1	51.83	829
17-Dec-12	2509.84	1	53.64	830
18-Dec-12	2538.72	1	55.4	831
19-Dec-12	2519.54	1	54.23	832
20-Dec-12	2533.91	1	55.11	833
21-Dec-12	2510.32	1	53.67	834
24-Dec-12	2504.51	1	53.31	835
