ticker,id,company,2yr div cagr,2yr cagr stock price ,
WFM,286,WHOLE FOODS MKT,6.08,-37.1,
APD,287,AIR PRODS & CHEM,5.94,11.45,
BCR,288,CR BARD INC,5.92,34.52,
CHRW,289,CH ROBINSON,5.9,1.49,
RAI,290,REYNOLDS AMERICA,5.88,84.68,
MUR,291,MURPHY OIL CORP,5.83,-33,
DVN,292,DEVON ENERGY CO,5.65,-22.52,
CME,293,CME GROUP INC,5.53,42.3,
AFL,294,AFLAC INC,5.48,18.01,
MAA,295,MID-AMERICA APAR,5.45,38.65,
VTR,296,VENTAS INC,5.43,7.9,
SRE,297,SEMPRA ENERGY,5.41,-6.01,
VIAB,298,VIACOM INC-B,5.4,-51.19,
ADP,299,AUTOMATIC DATA,5.32,28.21,
FITB,300,FIFTH THIRD BANC,5.18,37.58,
WLTW,301,WILLIS TOWERS WA,5.14,6.43,
EMR,302,EMERSON ELEC CO,5.1,-3.87,
MCD,303,MCDONALDS CORP,5,37.7,
AEP,304,AMERICAN ELECTRI,5,9.77,
ZBH,305,ZIMMER BIOMET HO,4.88,-8.4,
COL,306,ROCKWELL COLLINS,4.87,11.82,
K,307,KELLOGG CO,4.85,17.11,
CVX,308,CHEVRON CORP,4.76,13.55,
DTE,309,DTE ENERGY CO,4.72,19.98,
DLR,310,DIGITAL REALTY,4.39,60.18,
COP,311,CONOCOPHILLIPS,4.35,-22.77,
KMB,312,KIMBERLY-CLARK,4.23,3.38,
PG,313,PROCTER & GAMBLE,4.19,-2.91,
CLX,314,CLOROX CO,4.09,19.71,
PEG,315,PUB SERV ENTERP,4.08,11.48,
DE,316,DEERE & CO,3.97,21.88,
PNW,317,PINNACLE WEST,3.96,20.89,
SWK,318,STANLEY BLACK &,3.93,23.55,
HCN,319,WELLTOWER INC,3.85,-3.88,
HCP,320,HCP INC,3.74,-17.89,
MOS,321,MOSAIC CO/THE,3.68,-32,
HUM,322,HUMANA INC,3.67,41.53,
VZ,323,VERIZON COMMUNIC,3.67,23.62,
SCG,324,SCANA CORP,3.63,27.86,
SO,325,SOUTHERN CO,3.42,8.4,
SYY,326,SYSCO CORP,3.4,44.7,
LEG,327,LEGGETT & PLATT,3.33,20.72,
INTC,328,INTEL CORP,3.29,5.01,
NAVI,329,NAVIENT CORP,3.28,-18.3,
O,330,REALTY INCOME,2.85,28.06,
AJG,331,ARTHUR J GALLAGH,2.82,15.92,
ED,332,CONS EDISON INC,2.81,18.99,
BMY,333,BRISTOL-MYER SQB,2.8,2.52,
MAT,334,MATTEL INC,2.74,0.14,
WM,335,WASTE MANAGEMENT,2.7,45.36,
ABBV,336,ABBVIE INC,2.47,1.44,
FTR,337,FRONTIER COMMUNI,2.47,-39.71,
DUK,338,DUKE ENERGY CORP,2.4,-0.11,
MRK,339,MERCK & CO,2.29,8.95,
T,340,AT&T INC,2.19,38.68,
WMT,341,WAL-MART STORES,2.11,-15.77,
AEE,342,AMEREN CORP,1.7,20.04,
PBCT,343,PEOPLE'S UNITED,1.53,38.24,
LLY,344,ELI LILLY & CO,1.27,11.31,
PPL,345,PPL CORP,1.02,7.91,
NUE,346,NUCOR CORP,0.68,28.26,
MCHP,347,MICROCHIP TECH,0.56,50.25,
ETR,348,ENTERGY CORP,0.3,-10.43,
KMI,349,KINDER MORGAN IN,0.16,-47.11,
MTB,350,M&T BANK CORP,0,28.65,
SEE,351,SEALED AIR CORP,0,8.23,
GPN,352,GLOBAL PAYMENTS,0,71.67,
BLL,353,BALL CORP,0,9.61,
CI,354,CIGNA CORP,0,27.91,
COH,355,COACH INC,0,-0.35,
SPLS,356,STAPLES INC,0,-45.15,
PKI,357,PERKINELMER INC,0,19.65,
PCG,358,PG&E CORP,0,19.64,
TSS,359,TOTAL SYS SERVS,0,46.44,
AAP,360,ADVANCE AUTO PAR,0,6,
CAG,361,CONAGRA BRANDS I,0,44.86,
CA,362,CA INC,0,10.34,
CTL,363,CENTURYLINK INC,0,-31.16,
RRC,364,RANGE RESOURCES,0,-35.53,
AMAT,365,APPLIED MATERIAL,0,32.76,
LEN,366,LENNAR CORP-A,0,-2.73,
HRB,367,H&R BLOCK INC,0,-27.46,
